journal_name,category,if_2023,if_2022,涨跌分值
CA-A CANCER JOURNAL FOR CLINICIANS,ONCOLOGY - SCIE(Q1),254.7,286.13,-31.43
LANCET,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",168.9,202.73,-33.831
NEW ENGLAND JOURNAL OF MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",158.5,176.08,-17.579
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",120.7,157.34,-36.635
NATURE REVIEWS MOLECULAR CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),112.7,113.92,-1.215
NATURE REVIEWS DRUG DISCOVERY,PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),120.1,112.29,7.812
NATURE REVIEWS IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),100.3,108.56,-8.255
Lancet Respiratory Medicine,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1),76.2,102.64,-26.442
BMJ-British Medical Journal,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",105.7,93.33,12.367
NATURE MEDICINE,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)",82.9,87.24,-4.341
Lancet Microbe,INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),38.2,86.21,-48.008
World Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),73.3,79.68,-6.383
NATURE REVIEWS MICROBIOLOGY,MICROBIOLOGY - SCIE(Q1),88.1,78.3,9.803
Lancet Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),64.3,77.06,-12.756
Nature Reviews Materials,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",83.5,76.68,6.821
Nature Reviews Gastroenterology & Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),65.1,73.08,-7.982
Lancet Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",50,72.43,-22.427
CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",62.1,72.09,-9.987
LANCET INFECTIOUS DISEASES,INFECTIOUS DISEASES - SCIE(Q1),56.3,71.42,-15.121
NATURE REVIEWS CANCER,ONCOLOGY - SCIE(Q1),78.5,69.8,8.7
NATURE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),64.8,69.5,-4.704
NATURE BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),46.9,68.16,-21.264
Nature Energy,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",56.7,67.44,-10.739
CELL,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),64.5,66.85,-2.35
Nature Reviews Disease Primers,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",81.5,65.04,16.462
Nature Reviews Clinical Oncology,ONCOLOGY - SCIE(Q1),78.8,65.01,13.789
SCIENCE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),56.9,63.71,-6.814
CHEMICAL SOCIETY REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",46.2,60.62,-14.415
LANCET NEUROLOGY,CLINICAL NEUROLOGY - SCIE(Q1),48,59.94,-11.935
NATURE REVIEWS GENETICS,GENETICS & HEREDITY - SCIE(Q1),42.7,59.58,-16.881
Psychological Science in the Public Interest,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",#N/A,56.2,#N/A
LANCET ONCOLOGY,ONCOLOGY - SCIE(Q1),51.1,54.43,-3.333
ANNALS OF ONCOLOGY,ONCOLOGY - SCIE(Q1),50.5,51.77,-1.269
ANNALS OF INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",39.2,51.6,-12.398
JOURNAL OF CLINICAL ONCOLOGY,ONCOLOGY - SCIE(Q1),45.3,50.72,-5.417
REVIEWS OF MODERN PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",44.1,50.49,-6.385
CLINICAL MICROBIOLOGY REVIEWS,MICROBIOLOGY - SCIE(Q1),36.8,50.13,-13.329
Nature Reviews Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),49.6,49.42,0.179
PROGRESS IN MATERIALS SCIENCE,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",37.4,48.17,-10.765
NATURE METHODS,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1),48,47.99,0.01
