JrId,JournalTitle,MedAbbr,ISSN (Print),ISSN (Online),IsoAbbr,NlmId
1,AADE editors' journal,AADE Ed J,0160-6999,,AADE Ed J,7708172
2,AANA journal,AANA J,0094-6354,2162-5239,AANA J,0431420
3,AARN news letter,AARN News Lett,0001-0197,,AARN News Lett,1251052
4,[Nihon shika hyoron] The Nippon dental review,Nihon Shika Hyoron,0289-0909,,Nihon Shika Hyoron,19130390R
5,Academia Peruana de Cirugia,Acad Peru Cir,0001-3854,,Acad Peru Cir,14490460R
6,"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale",Acad Rev Calif Acad Periodontol,0008-0810,,Acad Rev Calif Acad Periodontol,7503275
7,Acarologia,Acarologia,0044-586X,,Acarologia,14510400R
9,Acquisitions medicales recentes,Acquis Med Recent,0075-4463,,Acquis Med Recent,0373054
11,Activitas nervosa superior,Act Nerv Super (Praha),0001-7604,,Act Nerv Super (Praha),0400662
12,Acta allergologica,Acta Allergol,0001-5148,,Acta Allergol,0370567
13,Acta anaesthesiologica,Acta Anaesthesiol,0001-5156,,Acta Anaesthesiol,0340732
14,Acta anaesthesiologica Belgica,Acta Anaesthesiol Belg,0001-5164,2736-5239,Acta Anaesthesiol Belg,0421022
15,Acta anaesthesiologica Scandinavica,Acta Anaesthesiol Scand,0001-5172,1399-6576,Acta Anaesthesiol Scand,0370270
16,Acta anaesthesiologica Scandinavica. Supplementum,Acta Anaesthesiol Scand Suppl,0515-2720,,Acta Anaesthesiol Scand Suppl,0370271
17,Acta anatomica,Acta Anat (Basel),0001-5180,,Acta Anat (Basel),0370272
18,Kaibogaku zasshi. Journal of anatomy,Kaibogaku Zasshi,0022-7722,,Kaibogaku Zasshi,0413526
19,Acta biochimica et biophysica; Academiae Scientiarum Hungaricae,Acta Biochim Biophys Acad Sci Hung,,,Acta Biochim Biophys Acad Sci Hung,0067725
20,Acta biochimica Polonica,Acta Biochim Pol,0001-527X,1734-154X,Acta Biochim Pol,14520300R
21,Across the board,Across Board (NY),0147-1554,,Across Board (NY),9877747
22,Acta biologica Academiae Scientiarum Hungaricae,Acta Biol Acad Sci Hung,0001-5288,,Acta Biol Acad Sci Hung,0370274
23,Academy of management review. Academy of Management,Acad Manage Rev,0363-7425,1930-3807,Acad Manage Rev,9877758
24,Acta biochimica et biophysica Hungarica,Acta Biochim Biophys Hung,0237-6261,,Acta Biochim Biophys Hung,8701158
25,Acta biologiae experimentalis,Acta Biol Exp (Warsz),0365-0820,,Acta Biol Exp (Warsz),1246764
27,Academy of Management journal. Academy of Management,Acad Manage J,0001-4273,1948-0989,Acad Manage J,7703609
28,Acta Belgica. Medica physica,Acta Belg Med Phys,0771-5684,,Acta Belg Med Phys,8307581
29,Shi yan sheng wu xue bao,Shi Yan Sheng Wu Xue Bao,0001-5334,,Shi Yan Sheng Wu Xue Bao,0413570
30,Acta biologica Hungarica,Acta Biol Hung,0236-5383,,Acta Biol Hung,8404358
31,Acta biologica et medica,Acta Biol Med (Gdansk),0065-1087,,Acta Biol Med (Gdansk),0370275
32,Acta biologica et medica Germanica,Acta Biol Med Ger,0001-5318,,Acta Biol Med Ger,0370276
33,Acta bio-medica de L'Ateneo parmense,Acta Biomed Ateneo Parmense,,,Acta Biomed Ateneo Parmense,8106323
34,Acta biotheoretica,Acta Biotheor,0001-5342,1572-8358,Acta Biotheor,0421520
35,Acta cancerologica,Acta Cancerol (Lima),1013-5545,1810-8296,Acta Cancerol (Lima),0370300
36,Acta cardiologica,Acta Cardiol,0001-5385,1784-973X,Acta Cardiol,0370570
38,Acta chemica Scandinavica. Series A,Acta Chem Scand A,0302-4377,,Acta Chem Scand A,0421761
39,Acta chemica Scandinavica. Series B,Acta Chem Scand B,0302-4369,,Acta Chem Scand B,0421265
40,Acta chirurgica Academiae Scientiarum Hungaricae,Acta Chir Acad Sci Hung,0001-5431,,Acta Chir Acad Sci Hung,2984283R
41,Acta chirurgica Hungarica,Acta Chir Hung,0231-4614,,Acta Chir Hung,8309977
42,Acta cardiologica. Supplementum,Acta Cardiol Suppl,0373-7934,,Acta Cardiol Suppl,0376316
43,Acta chirurgica Belgica,Acta Chir Belg,0001-5458,,Acta Chir Belg,0370571
44,Acta chirurgica Italica,Acta Chir Ital,0001-5466,,Acta Chir Ital,0370303
45,Acta chirurgica Iugoslavica,Acta Chir Iugosl,0354-950X,,Acta Chir Iugosl,0372631
46,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca,Acta Chir Orthop Traumatol Cech,0001-5415,,Acta Chir Orthop Traumatol Cech,0407123
47,Acta chirurgiae plasticae,Acta Chir Plast,0001-5423,1805-4404,Acta Chir Plast,0370301
48,Acta chirurgica Scandinavica,Acta Chir Scand,0001-5482,,Acta Chir Scand,7906530
49,Acta chirurgica Scandinavica. Supplementum,Acta Chir Scand Suppl,0301-1860,,Acta Chir Scand Suppl,0370305
50,Acta cientifica venezolana,Acta Cient Venez,0001-5504,,Acta Cient Venez,0070154
51,Acta clinica Belgica,Acta Clin Belg,1784-3286,2295-3337,Acta Clin Belg,0370306
52,Acta clinica Belgica. Supplementum,Acta Clin Belg Suppl,0567-7386,,Acta Clin Belg Suppl,0043523
53,Acta clinica odontologica,Acta Clin Odontol,0120-9906,,Acta Clin Odontol,8503035
54,Acta crystallographica,Acta Crystallogr,0365-110X,,Acta Crystallogr,0211526
55,"Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography",Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr,0567-7394,,Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr,0211627
57,Acta cytologica,Acta Cytol,0001-5547,1938-2650,Acta Cytol,0370307
58,"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")",Acta Embryol Morphol Exp (Halocynthia Assoc),0391-9706,,Acta Embryol Morphol Exp (Halocynthia Assoc),8108943
59,Acta dermatologica-Kyoto. English edition,Acta Dermatol Kyoto Engl Ed,0376-0189,,Acta Dermatol Kyoto Engl Ed,0266344
60,Acta dermato-venereologica,Acta Derm Venereol,0001-5555,1651-2057,Acta Derm Venereol,0370310
61,Acta dermato-venereologica. Supplementum,Acta Derm Venereol Suppl (Stockh),0365-8341,,Acta Derm Venereol Suppl (Stockh),0370311
62,Hifuka kiyo. Acta dermatologica,Hifuka Kiyo,0065-1176,,Hifuka Kiyo,1305010
63,Acta diabetologica latina,Acta Diabetol Lat,0001-5563,,Acta Diabetol Lat,0123567
64,Acta embryologiae experimentalis,Acta Embryol Exp (Palermo),0065-1184,,Acta Embryol Exp (Palermo),0236000
65,Acta embryologiae et morphologiae experimentalis,Acta Embryol Morphol Exp,0567-7416,,Acta Embryol Morphol Exp,0235532
66,Acta endocrinologica,Acta Endocrinol (Copenh),0001-5598,,Acta Endocrinol (Copenh),0370312
67,Acta endocrinologica. Supplementum,Acta Endocrinol Suppl (Copenh),0300-9750,,Acta Endocrinol Suppl (Copenh),0370313
68,Acta Europaea fertilitatis,Acta Eur Fertil,0587-2421,,Acta Eur Fertil,1300660
69,Acta gastro-enterologica Belgica,Acta Gastroenterol Belg,1784-3227,,Acta Gastroenterol Belg,0414075
70,Acta gastroenterologica Latinoamericana,Acta Gastroenterol Latinoam,0300-9033,2469-1119,Acta Gastroenterol Latinoam,0261505
71,Acta genetica et statistica medica,Acta Genet Stat Med,0567-7440,,Acta Genet Stat Med,0200600
72,Acta geneticae medicae et gemellologiae,Acta Genet Med Gemellol (Roma),0001-5660,,Acta Genet Med Gemellol (Roma),0370314
